ARTIST NAME,ARTIST PAGE URL,BIRTHDAY (YYYY-MM-DD)
10cc,https://www.udiscovermusic.com/artist/10cc,
2Pac,https://www.udiscovermusic.com/artist/2pac,
50 Cent,https://www.udiscovermusic.com/artist/50-cent,
A Thousand Horses,https://www.udiscovermusic.com/artist/a-thousand-horses,
ABBA,https://www.udiscovermusic.com/artist/abba,
ABC,https://www.udiscovermusic.com/artist/abc,
Aerosmith,https://www.udiscovermusic.com/artist/aerosmith,
Agnetha Fältskog,https://www.udiscovermusic.com/artist/agnetha-faltskog,
Alan Jackson,https://www.udiscovermusic.com/artists/alan-jackson,
Albert King,https://www.udiscovermusic.com/artist/albert-king,
Alice Cooper,https://www.udiscovermusic.com/artist/Alice-Cooper,
Alison Krauss,https://www.udiscovermusic.com/artist/alison-krauss,
Andre Rieu,https://www.udiscovermusic.com/artist/andre-rieu,
Andrea Bocelli,https://www.udiscovermusic.com/artist/andrea-bocelli,
Andrew W.K.,https://www.udiscovermusic.com/artist/andrew-w-k,
Anna-Frid Lyngstad,https://www.udiscovermusic.com/artist/frida-lyngstad,
Anthrax,https://www.udiscovermusic.com/artist/anthrax,
Apache Indian,https://www.udiscovermusic.com/artist/apache-indian,
Arcade Fire,https://www.udiscovermusic.com/artist/arcade-fire,
Arrested Development,https://www.udiscovermusic.com/artist/arrested-development,
Ashley Campbell,https://www.udiscovermusic.com/artist/ashley-campbell,
Astrud Gilberto,https://www.udiscovermusic.com/artist/astrud-gilberto,
Aswad,https://www.udiscovermusic.com/artist/aswad,
Atlanta Rhythm Section,https://www.udiscovermusic.com/artist/atlanta-rhythm-section,
Audioslave,https://www.udiscovermusic.com/artist/audioslave,
B.B. King,https://www.udiscovermusic.com/artist/b-b-king,
Badfinger,https://www.udiscovermusic.com/artist/badfinger,
Barclay James Harvest,https://www.udiscovermusic.com/artist/barclay-james-harvest,
Beastie Boys,https://www.udiscovermusic.com/artist/beastie-boys,
Beck,https://www.udiscovermusic.com/artist/Beck,
Bee Gees,https://www.udiscovermusic.com/artist/bee-gees,
Belinda Carlisle,https://www.udiscovermusic.com/artist/belinda-carlisle,
Ben Harper,https://www.udiscovermusic.com/artist/ben-harper,
Ben Howard,https://www.udiscovermusic.com/?post_type=artists&p=29929,
Benny Andersson,https://www.udiscovermusic.com/artist/benny-andersson,
Big Country,https://www.udiscovermusic.com/artist/big-country,
Big Star,https://www.udiscovermusic.com/artist/big-star,
Billie Holiday,https://www.udiscovermusic.com/artist/billie-holiday,
Billy Fury,https://www.udiscovermusic.com/artist/billy-fury,
Billy Preston,https://www.udiscovermusic.com/artist/billy-preston,
Björk,https://www.udiscovermusic.com/artist/bjork,
Black Eyed Peas,https://www.udiscovermusic.com/artist/black-eyed-peas,
Black Sabbath,https://www.udiscovermusic.com/artist/black-sabbath,
Black Uhuru,https://www.udiscovermusic.com/artist/black-uhuru,
Blind Faith,https://www.udiscovermusic.com/artist/blind-faith,
Blink 182,https://www.udiscovermusic.com/artist/blink-182,
Blue Cheer,https://www.udiscovermusic.com/artist/blue-cheer,
Bo Diddley,https://www.udiscovermusic.com/artist/bo-diddley,
Bon Jovi,https://www.udiscovermusic.com/artist/Bon-Jovi,
Booker T,https://www.udiscovermusic.com/artist/booker-t,
Boyz II Men,https://www.udiscovermusic.com/artist/Boyz-II-Men,
Brantley Gilbert,https://www.udiscovermusic.com/artist/brantley-gilbert,
Brenda Holloway,https://www.udiscovermusic.com/artist/brenda-holloway,
Bruce Springsteen,https://www.udiscovermusic.com/artist/Bruce-Springsteen,
Bryan Adams,https://www.udiscovermusic.com/artist/bryan-adams,
Buddy Holly,https://www.udiscovermusic.com/artist/buddy-holly,
Burning Spear,https://www.udiscovermusic.com/artist/burning-spear,
Burt Bacharach,https://www.udiscovermusic.com/artist/burt-bacharach,
Camel,https://www.udiscovermusic.com/artist/camel,
Canned Heat,https://www.udiscovermusic.com/artist/canned-heat,
Captain Beefheart,https://www.udiscovermusic.com/artist/captain-beefheart,
Caravan,https://www.udiscovermusic.com/artist/caravan,
Carpenters,https://www.udiscovermusic.com/artist/carpenters,
Charlie Parker,https://www.udiscovermusic.com/artist/Charlie-Parker,
Cheap Trick,https://www.udiscovermusic.com/artist/cheap-trick,
Cher,https://www.udiscovermusic.com/artist/cher,
Chris Stapleton,https://www.udiscovermusic.com/artist/chris-stapleton,
Cinderella,https://www.udiscovermusic.com/artist/cinderella,
Climax Blues Band,https://www.udiscovermusic.com/artist/climax-blues-band,
Commodores,https://www.udiscovermusic.com/artist/commodores,
Corinne Bailey Rae,https://www.udiscovermusic.com/artist/corinne-bailey-rae,
Counting Crows,https://www.udiscovermusic.com/artist/counting-crows,
Craig Armstrong,https://www.udiscovermusic.com/artist/craig-armstrong,
Cream,https://www.udiscovermusic.com/artist/cream,
Crowded House,https://www.udiscovermusic.com/artist/crowded-house,
Culture Club,https://www.udiscovermusic.com/artist/culture-club,
Cutting Crew,https://www.udiscovermusic.com/artist/cutting-crew,
D'Angelo,https://www.udiscovermusic.com/artist/dangelo,
DMX,https://www.udiscovermusic.com/artist/dmx,
Daniel Hope,https://www.udiscovermusic.com/artist/daniel-hope,
Darren Hayes,https://www.udiscovermusic.com/artist/darren-hayes,
David Bowie,https://www.udiscovermusic.com/artist/david-bowie,
Dean Martin,https://www.udiscovermusic.com/artist/dean-martin,
Debarge,https://www.udiscovermusic.com/artist/debarge,
Def Leppard,https://www.udiscovermusic.com/artist/Def-Leppard,
Demis Roussos,https://www.udiscovermusic.com/artist/demis-roussos,
Derek And The Dominos,https://www.udiscovermusic.com/artist/Derek-And-The-Dominos,
Desmond Dekker,https://www.udiscovermusic.com/artist/desmond-dekker,
Dinah Washington,https://www.udiscovermusic.com/artist/Dinah-Washington,
Dio,https://www.udiscovermusic.com/artist/dio,
Dire Straits,https://www.udiscovermusic.com/artist/Dire-Straits,
Disclosure,https://www.udiscovermusic.com/artist/disclosure,
Dr Dre,https://www.udiscovermusic.com/artist/dr-dre,
